rank,run_id,track,rank_status,budget_tier,candidate_count,selected_model_policy,mean_score,eligible_targets,ok_targets,missing_targets,failed_targets,partial_candidate_targets,metric_unavailable_targets,artifact_path
,server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.022448,71,4,67,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T1234
,server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.022013,71,7,64,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0235O
,server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.013752,71,3,66,2,2,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed106_110/predictions/protenix-v2/T1206O
,server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.013461,71,3,66,2,2,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed111_115/predictions/protenix-v2/T1206O
,server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.013461,71,3,66,2,2,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed121_125/predictions/protenix-v2/T1206O
,server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.012587,71,3,66,2,2,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed116_120/predictions/protenix-v2/T1206O
,server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.011093,71,1,65,5,5,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix25_seed106_110/predictions/protenix-v2/T0234O
,server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.010931,71,1,65,5,5,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix25_seed111_115/predictions/protenix-v2/T0234O
,server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.010820,71,1,65,5,5,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix25_seed116_120/predictions/protenix-v2/T0234O
,server_v2_attack_scoreable_input_repair_added_only_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.005218,71,3,68,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_added_only_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T1212
,server_v2_domain_sequence_recovery_msa_warmup_seed101,protein_domain,unranked:run_not_rank_eligible,diagnostic,1,first_output_only,0.004265,71,2,67,2,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_domain_sequence_recovery_msa_warmup_seed101/predictions/protenix-v2/T1212
,server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.001524,71,1,64,6,6,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed106_110/predictions/protenix-v2/T1201O
,server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.001524,71,1,64,6,6,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed111_115/predictions/protenix-v2/T1201O
