category,rank,group,group_type,eligible_target_count,submitted_target_count,missing_target_count,mean_fixed_score,mean_submitted_score,best_score,primary_metric
prot_domains,78,191,all,71,19,52,0.245758,0.918358,0.985600,GDT_TS
prot_domains,79,085,all,71,19,52,0.242714,0.906984,0.992800,GDT_TS
prot_domains,80,397,all,71,19,52,0.237339,0.886900,0.995600,GDT_TS
prot_domains,81,218,all,71,16,55,0.215472,0.956156,0.997800,GDT_TS
prot_domains,82,380,all,71,16,55,0.203008,0.900850,0.995600,GDT_TS
prot_domains,83,337s,all,71,17,54,0.166332,0.694682,0.957100,GDT_TS
prot_domains,84,114s,all,71,17,54,0.164675,0.687759,0.958100,GDT_TS
prot_domains,85,300s,all,71,17,54,0.164294,0.686171,0.968900,GDT_TS
prot_domains,86,468,all,71,10,61,0.125377,0.890180,0.995300,GDT_TS
prot_domains,87,117,all,71,10,61,0.115297,0.818610,0.988200,GDT_TS
prot_domains,88,481,all,71,6,65,0.080625,0.954067,0.968500,GDT_TS
prot_domains,89,033,all,71,6,65,0.079287,0.938233,0.972200,GDT_TS
prot_domains,90,231,all,71,6,65,0.078997,0.934800,0.975900,GDT_TS
prot_domains,91,105,all,71,35,36,0.066107,0.134103,0.254200,GDT_TS
prot_domains,92,325,all,71,5,66,0.065023,0.923320,0.955600,GDT_TS
prot_domains,93,159,all,71,5,66,0.064841,0.920740,0.955600,GDT_TS
prot_domains,94,008,all,71,5,66,0.064707,0.918840,0.953600,GDT_TS
prot_domains,95,376,all,71,8,63,0.057356,0.509038,0.953400,GDT_TS
prot_domains,96,400,all,71,5,66,0.050170,0.712420,0.913000,GDT_TS
prot_domains,97,132s,all,71,7,64,0.043361,0.439800,0.754600,GDT_TS
prot_domains,98,357,all,71,3,68,0.027742,0.656567,0.789100,GDT_TS
prot_domains,99,351,all,71,2,69,0.024935,0.885200,0.885200,GDT_TS
prot_domains,100,338,all,71,2,69,0.021551,0.765050,0.834200,GDT_TS
prot_domains,101,197,all,71,2,69,0.021279,0.755400,0.939100,GDT_TS
prot_domains,102,189,all,71,1,70,0.013813,0.980700,0.980700,GDT_TS
prot_domains,103,386,all,71,1,70,0.013624,0.967300,0.967300,GDT_TS
prot_domains,104,276,all,71,1,70,0.013589,0.964800,0.964800,GDT_TS
prot_domains,105,174s,all,71,1,70,0.012968,0.920700,0.920700,GDT_TS
prot_domains,106,049,all,71,1,70,0.012818,0.910100,0.910100,GDT_TS
prot_domains,107,271,all,71,1,70,0.012603,0.894800,0.894800,GDT_TS
prot_domains,108,143,all,71,1,70,0.012135,0.861600,0.861600,GDT_TS
prot_domains,109,471s,all,71,1,70,0.011713,0.831600,0.831600,GDT_TS
