shard_id	run_id	benchmark	strategy	input_json	input_manifest	msa_cache_index	msa_reuse_require_complete	seeds	sample	selected_model_policy	status
1	server_v2_attack_scoreable_oligo_size_first_phase_alias_protenix25_shard1_seed101_105	casp16_server_protein_v2_aliasfix	scoreable_target_subset_oligo_size_first_phase_alias_v1_nofail_server_attack_protenix25	strategies/scoreable_target_subset_oligo_size_first_phase_alias_v1/casp16_server_protein_v2_aliasfix/inputs.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	data/msa_cache/index.tsv	true	101,102,103,104,105	1	protenix_confidence_v1	planned_not_queued
2	server_v2_attack_scoreable_oligo_size_first_phase_alias_protenix25_shard2_seed106_110	casp16_server_protein_v2_aliasfix	scoreable_target_subset_oligo_size_first_phase_alias_v1_nofail_server_attack_protenix25	strategies/scoreable_target_subset_oligo_size_first_phase_alias_v1/casp16_server_protein_v2_aliasfix/inputs.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	data/msa_cache/index.tsv	true	106,107,108,109,110	1	protenix_confidence_v1	planned_not_queued
3	server_v2_attack_scoreable_oligo_size_first_phase_alias_protenix25_shard3_seed111_115	casp16_server_protein_v2_aliasfix	scoreable_target_subset_oligo_size_first_phase_alias_v1_nofail_server_attack_protenix25	strategies/scoreable_target_subset_oligo_size_first_phase_alias_v1/casp16_server_protein_v2_aliasfix/inputs.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	data/msa_cache/index.tsv	true	111,112,113,114,115	1	protenix_confidence_v1	planned_not_queued
4	server_v2_attack_scoreable_oligo_size_first_phase_alias_protenix25_shard4_seed116_120	casp16_server_protein_v2_aliasfix	scoreable_target_subset_oligo_size_first_phase_alias_v1_nofail_server_attack_protenix25	strategies/scoreable_target_subset_oligo_size_first_phase_alias_v1/casp16_server_protein_v2_aliasfix/inputs.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	data/msa_cache/index.tsv	true	116,117,118,119,120	1	protenix_confidence_v1	planned_not_queued
5	server_v2_attack_scoreable_oligo_size_first_phase_alias_protenix25_shard5_seed121_125	casp16_server_protein_v2_aliasfix	scoreable_target_subset_oligo_size_first_phase_alias_v1_nofail_server_attack_protenix25	strategies/scoreable_target_subset_oligo_size_first_phase_alias_v1/casp16_server_protein_v2_aliasfix/inputs.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	data/msa_cache/index.tsv	true	121,122,123,124,125	1	protenix_confidence_v1	planned_not_queued
